,game,player,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five
146,20150207,842297,"(0.48389053855748776, 2)","(0.4585941119679507, 3)","(0.8000692364953682, 31)","(0.7860451310660221, 40)","(0.861789540964225, 302)","(1.3210796379712086, 2)","(0.9468090119822073, 2)","(1.3156699626507409, 7)","(0.9761756242102106, 9)","(0.9896274415116848, 187)"
147,20150207,756883,"(0.6754244713315275, 4)","(0.74979285442065, 2)","(0.7357623840465176, 34)","(0.9692691473528078, 41)","(0.9003446547223534, 307)",0,0,"(0.8996475869505843, 3)","(1.0649230312891804, 2)","(0.9532124264806555, 76)"
148,20150207,601143,"(1.0, 2)","(0.5958427448267453, 13)","(0.7376168096652619, 105)","(0.8139836501021501, 15)","(0.7341377159533574, 13)","(2.48398127116157, 1)","(-0.5318522858043573, 1)","(0.777315513472027, 1)",0,"(1.3161075805317084, 1)"
149,20150207,842296,0,"(1.0, 1)","(0.8869203206432752, 9)","(1.1392553672623416, 34)","(0.9542997745875962, 183)",0,0,"(0.8942422371297345, 2)","(0.9571561513152065, 3)","(1.0162253306067037, 24)"
150,20150207,842313,0,0,"(0.7981765546107842, 1)","(0.8301853816838415, 5)","(0.8545986294194217, 14)",0,0,0,0,0
151,20150207,786843,0,"(0.4426692993060095, 1)","(0.5743528399904303, 3)","(0.7149866845885955, 2)","(0.9200732211252723, 15)",0,0,0,0,0
152,20150218,842301,"(1.0, 5)","(0.8231847288041543, 13)","(0.7309873271264917, 486)","(0.7374723484119914, 66)","(0.9017268315156833, 57)","(-0.052470921706732176, 2)","(0.6249968589337889, 4)","(0.8339142522837818, 45)","(0.8368604833113027, 10)","(0.7868489093398016, 12)"
153,20150218,842298,"(0.8406812945920201, 6)","(0.5769121807979027, 7)","(0.8214102791361747, 70)","(0.91470689562153, 53)","(0.9325764409969353, 320)","(1.9091555859168383, 1)","(0.5725464003560415, 10)","(0.7656381020521279, 9)","(0.9669500919241258, 10)","(0.9213034277438257, 66)"
154,20150218,842297,0,"(0.3920114574505884, 2)","(0.6699846877768858, 32)","(0.6978394128227086, 41)","(0.9598674058096871, 396)","(0.32418503257372444, 3)","(0.8502808591426032, 2)","(0.7247943040319477, 15)","(1.1112539637711454, 13)","(1.1130503894825698, 244)"
155,20150218,696290,"(0.7823695923525898, 16)","(0.7839888967858172, 30)","(0.7367472232648193, 239)","(0.8027289745266544, 127)","(0.8661384644250606, 96)","(1.4044252689790637, 2)","(0.3351588972052878, 4)","(0.6801200273099975, 8)","(0.9101672832753774, 15)","(1.0262601016523065, 23)"
156,20150218,601140,"(0.5440666829956875, 1)","(0.7804690640848783, 3)","(0.8008843514684457, 40)","(1.0901311237953861, 55)","(1.106866401202096, 446)","(0.8454270892756657, 2)","(0.8288655151777269, 2)","(0.8408484226505358, 17)","(1.0330276295239225, 23)","(1.0708896841386362, 183)"
157,20150218,601143,"(0.7614081855425956, 2)","(0.6573731850720131, 7)","(0.7829135273702076, 64)","(0.7933562773865893, 34)","(0.9407229359073896, 25)",0,0,0,0,"(1.072475026655147, 3)"
158,20150218,756883,"(0.26172959995381206, 1)","(0.7953866034690229, 6)","(0.8077737166219926, 47)","(0.8330782949393505, 35)","(0.8539133411254993, 264)",0,0,"(0.7511759489227686, 3)","(1.1015024009878935, 3)","(0.985872563086987, 25)"
159,20150218,842296,"(0.29909393366661874, 2)","(1.0, 1)","(0.9201167385556667, 8)",0,"(0.8280786313840034, 27)",0,"(0.8733856982253034, 2)","(1.0353532581004692, 1)","(0.8541561432509408, 2)","(1.0919152114418658, 6)"
160,20150221,696290,"(0.9159747627209157, 10)","(0.9118342910919731, 15)","(0.8764720422326312, 123)","(0.818936180360665, 84)","(0.8329833677349697, 48)","(-2.5346014650501907, 1)","(0.8102993259347326, 1)","(0.8472619313555811, 8)","(0.8652029537477068, 4)",0
161,20150221,842298,"(1.0, 1)",0,"(0.8835387796035288, 62)","(0.9586571847738151, 126)","(0.8961325751474679, 351)","(-0.4463540483712663, 8)","(1.7085523399977216, 6)","(0.6420928536426613, 4)","(0.917984118422036, 15)","(0.979202375039721, 95)"
162,20150221,601140,"(0.6574214994239121, 1)","(0.90229442943792, 4)","(0.8724387531602464, 26)","(1.0403366051800558, 74)","(0.9403228435890953, 412)",0,"(1.7060476704608392, 4)","(1.0633614552456756, 12)","(0.9251988753476779, 17)","(1.0624122454500162, 150)"
163,20150221,756883,"(1.0, 2)","(0.9366076463642786, 5)","(0.8341090716327328, 53)","(0.8193902253470764, 55)","(0.8098547568948574, 295)",0,0,"(0.9599024943458011, 3)","(1.0715121724731873, 5)","(0.9475021324315245, 48)"
