game_number,opponent,result,pts,opp_pts,fg,fga,fg_pct,three_fg,three_fga,three_pct,PPS_two,PPS_three,PPS,eff_fg_pct,ft,fta,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,shot_making,ePPS,pt_diff,game,grav1,grav2,grav3,grav4,grav5
13,Boston College,W,85,62,27,57,0.47368421052631576,9,21,0.42857142857142855,1,1.2857142857142858,1.105263157894737,0.5526315789473685,22,29,16,23,39,15,4,10,11,14,-0.03915029954385951,1.1444134574385965,23,20150103,0.2672765011666667,0.5149229331190476,0.799249729,0.8603157191190476,0.9329213826428572
16,Miami (FL),L,74,90,29,66,0.4393939393939394,6,21,0.2857142857142857,1.0222222222222221,0.8571428571428571,0.9696969696969697,0.48484848484848486,10,20,16,23,39,12,4,1,15,22,-0.1287457989848484,1.0984427686818181,-16,20150113,0.19852711792156863,0.46231096147058826,0.7587996414117647,0.6570766613529412,0.8264811772745098
18,Pitt,W,79,65,24,52,0.46153846153846156,11,23,0.4782608695652174,0.896551724137931,1.434782608695652,1.1346153846153846,0.5673076923076923,20,25,9,23,32,13,7,4,8,13,-0.08266770609615381,1.2172830907115384,14,20150119,0.2535285368888889,0.4838649846888889,0.7894757971555556,0.8620994692222222,0.9289872570444444
22,Georgia Tech,W,72,66,26,57,0.45614035087719296,5,18,0.2777777777777778,1.0769230769230769,0.8333333333333334,1,0.5,15,24,12,24,36,13,9,4,9,16,-0.13435667022807007,1.13435667022807,6,20150204,0.19099217941860466,0.3874242186744186,0.7542808261860465,0.7972364188139535,0.8547806931395349
23,Notre Dame(2),W,90,60,31,51,0.6078431372549019,9,15,0.6,1.2222222222222223,1.8,1.392156862745098,0.696078431372549,19,26,10,28,38,18,5,5,9,18,0.16848231625490184,1.2236745464901961,30,20150207,0.2663923395581395,0.4501323652790698,0.7698854084418605,0.6949042221860465,0.8589090941860466
26,UNC,W,92,90,33,65,0.5076923076923077,10,16,0.625,0.9387755102040817,1.875,1.1692307692307693,0.5846153846153846,16,31,13,30,43,18,6,7,16,16,0.06564638316923088,1.1035843860615384,2,20150218,0.2763634124901961,0.3962009278235294,0.7219102109411765,0.8079455741764706,0.9434630414313726
27,Clemson,W,78,56,30,58,0.5172413793103449,7,20,0.35,1.2105263157894737,1.05,1.1551724137931034,0.5775862068965517,11,13,4,25,29,15,10,0,11,14,-0.09696175974137922,1.2521341735344826,22,20150221,0.20203132628,0.35209345322,0.72640435942,0.76532824922,0.8543595845
29,Syracuse(2),W,73,54,28,58,0.4827586206896552,8,23,0.34782608695652173,1.1428571428571428,1.0434782608695652,1.103448275862069,0.5517241379310345,9,16,16,24,40,18,7,6,17,10,-0.12207290033091356,1.2255211761929825,19,20150228,0.19069919853658537,0.38295413914634147,0.7197225991463415,0.8463509557804878,0.8597598378048781
30,Wake Forest(2),W,94,51,34,59,0.576271186440678,13,25,0.52,1.2352941176470589,1.56,1.3728813559322033,0.6864406779661016,13,16,9,27,36,22,12,2,12,14,0.245018767135593,1.1278625887966103,43,20150304,0.13671472062222223,0.45684616091111113,0.7972252074666667,0.7798162483777777,0.9197075281111111
32,NC State(2),W,77,53,30,53,0.5660377358490566,5,13,0.38461538461538464,1.25,1.1538461538461537,1.2264150943396226,0.6132075471698113,12,13,5,17,22,14,7,6,5,15,0.0373463667358489,1.1890687276037737,24,20150312,0.28643833226086957,0.42238642363043477,0.6864499301304348,0.8520820893913044,0.9699800382608695
33,Notre Dame(3),L,64,74,27,60,0.45,3,17,0.17647058823529413,1.1162790697674418,0.5294117647058824,0.95,0.475,7,14,10,21,31,10,6,4,12,21,-0.16549661881355937,1.1154966188135593,-10,20150313,0.22594077993478262,0.32427133034782607,0.7682709195652174,0.7262236579130434,0.8300007029782609
34,Robert Morris,W,85,56,34,54,0.6296296296296297,10,21,0.47619047619047616,1.4545454545454546,1.4285714285714286,1.4444444444444444,0.7222222222222222,7,14,9,30,39,28,7,3,11,8,0.1501418246666666,1.2943026197777778,29,20150320,0.21374974912820513,0.4447032983589744,0.7190319590769231,0.7327018792564103,0.8873878929743589
35,San Diego State,W,68,49,30,55,0.5454545454545454,6,14,0.42857142857142855,1.170731707317073,1.2857142857142858,1.2,0.6,2,2,4,27,31,16,7,6,8,12,0.037818569327272566,1.1621814306727274,19,20150322,0.34090399144444444,0.4694292141111111,0.8242695472222222,0.8724983459333333,0.9086041312
