game_number,game_id,name,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts
23,20150207,Quinn Cook,Notre Dame,W,1,36,3,8,0.375,1,5,0.2,2,3,0.6666666666666666,0,0,NaN,0.4,2,1,0,1,1,5,1,0,0,3,8
24,20150209,Quinn Cook,Florida State,W,1,40,8,15,0.5333333333333333,4,6,0.6666666666666666,4,9,0.4444444444444444,6,7,0.8571428571428571,1.3333333333333333,1.3333333333333333,1.7333333333333334,0,4,4,0,0,0,2,3,26
25,20150214,Quinn Cook,Syracuse,W,1,40,4,10,0.4,2,3,0.6666666666666666,2,7,0.2857142857142857,7,8,0.875,1.3333333333333333,0.8571428571428571,1.7,0,3,3,5,2,0,1,0,17
26,20150218,Quinn Cook,UNC,W,1,45,7,15,0.4666666666666667,1,6,0.16666666666666666,6,9,0.6666666666666666,2,4,0.5,0.3333333333333333,2,1.4666666666666666,1,3,4,3,0,0,3,3,22
27,20150221,Quinn Cook,Clemson,W,1,39,11,18,0.6111111111111112,8,11,0.7272727272727273,3,7,0.42857142857142855,2,2,1,1.4545454545454546,1.2857142857142858,1.5,1,3,4,4,1,0,2,0,27
28,20150225,Quinn Cook,Virginia Tech,W,1,45,8,13,0.6153846153846154,2,2,1,6,11,0.5454545454545454,4,6,0.6666666666666666,2,1.6363636363636365,2,0,2,2,3,1,0,1,2,26
29,20150228,Quinn Cook,Syracuse,W,1,34,5,15,0.3333333333333333,4,7,0.5714285714285714,1,8,0.125,6,6,1,1.1428571428571428,0.375,1.1333333333333333,1,1,2,4,1,0,2,1,17
30,20150304,Quinn Cook,Wake Forest,W,1,32,4,12,0.3333333333333333,1,5,0.2,3,7,0.42857142857142855,2,2,1,0.4,1.2857142857142858,1.0833333333333333,0,5,5,2,0,0,2,2,13
31,20150307,Quinn Cook,UNC,W,1,38,7,16,0.4375,3,6,0.5,4,10,0.4,2,2,1,1,1.2,1.25,1,3,4,1,0,0,0,3,20
32,20150312,Quinn Cook,NC State,W,1,26,5,7,0.7142857142857143,3,5,0.6,2,2,1,3,3,1,1.2,3,2.142857142857143,0,2,2,0,1,0,0,1,15
33,20150313,Quinn Cook,Notre Dame,L,1,39,2,12,0.16666666666666666,1,4,0.25,1,8,0.125,2,2,1,0.5,0.375,0.5833333333333334,0,2,2,2,1,0,2,4,7
34,20150320,Quinn Cook,Robert Morris,W,1,32,8,12,0.6666666666666666,2,2,1,6,10,0.6,0,0,NaN,2,1.8,1.8333333333333333,1,3,4,5,3,0,1,3,22
35,20150322,Quinn Cook,San Diego State,W,1,38,6,13,0.46153846153846156,3,5,0.6,3,8,0.375,0,0,NaN,1.2,1.125,1.1538461538461537,1,4,5,2,0,0,1,0,15
36,20150327,Quinn Cook,Utah,W,1,38,2,5,0.4,2,4,0.5,0,1,0,7,8,0.875,1,0,2.2,1,3,4,2,0,0,2,4,11
