time,time_diff,team,play,home_score,away_score,fgm,fga,three_fgm,three_fga,ftm,fta,PPS,asts,o_reb,d_reb,stl,blk,to,foul,game_number
275,8,Opponent,Reid Travis made Layup. Assisted by Quade Green.,48,33,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
261,14,Duke,RJ Barrett missed Three Point Jumper.,48,33,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
261,0,Duke,Jack White Offensive Rebound.,48,33,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
251,10,Duke,Zion Williamson made Jumper.,50,33,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
229,22,Opponent,Quade Green missed Three Point Jumper.,50,33,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
229,0,Duke,Zion Williamson Defensive Rebound.,50,33,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
222,7,Duke,Javin DeLaurier Turnover.,50,33,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
220,2,Official,Official TV Timeout,50,33,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,1
201,19,Opponent,Reid Travis missed Jumper.,50,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
201,0,Opponent,EJ Montgomery Offensive Rebound.,50,33,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
198,3,Opponent,EJ Montgomery made Layup.,50,35,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
179,19,Duke,Foul on RJ Barrett.,50,35,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
179,0,Duke,RJ Barrett Turnover.,50,35,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1
165,14,Opponent,Keldon Johnson made Jumper. Assisted by EJ Montgomery.,50,37,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
154,11,Duke,Cam Reddish made Layup.,52,37,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
144,10,Opponent,Tyler Herro missed Jumper.,52,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
144,0,Opponent,EJ Montgomery Offensive Rebound.,52,37,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
139,5,Opponent,EJ Montgomery made Layup.,52,39,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
123,16,Duke,RJ Barrett made Jumper.,54,39,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1
103,20,Opponent,EJ Montgomery made Layup. Assisted by Tyler Herro.,54,41,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
93,10,Opponent,Foul on Immanuel Quickley.,54,41,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
93,0,Duke,Tre Jones made Free Throw.,55,41,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
93,0,Duke,Tre Jones missed Free Throw.,55,41,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,1
93,0,Opponent,EJ Montgomery Defensive Rebound.,55,41,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
91,2,Opponent,Tyler Herro missed Three Point Jumper.,55,41,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
91,0,Duke,Tre Jones Defensive Rebound.,55,41,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1
84,7,Duke,RJ Barrett made Layup. Assisted by Tre Jones.,57,41,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1
57,27,Opponent,Tyler Herro missed Jumper.,57,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,Opponent,Reid Travis Offensive Rebound.,57,41,0,0,0,0,0,0,NaN,0,1,0,0,0,0,0,1
52,5,Opponent,Foul on Reid Travis.,57,41,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1
