game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_three,frames_three,offball_zone_four,frames_four,offball_zone_five,frames_five,ball_three,frames_three_ball,ball_four,frames_four_ball,ball_five,frames_five_ball,name,position
2,20141115,Fairfield,W,1,27,7,9,0.7777777777777778,4,5,0.8,3,4,0.75,0,0,NaN,1.6,2.25,1.8888888888888888,0,2,2,4,1,0,1,1,17,0.7676777307892568,13,0.7126717462415716,15,0.8905241020025727,281,0.6376925789080282,6,0.8833655817812227,10,0.9639545231074351,114,Quinn Cook,G
3,20141118,Michigan State,W,1,36,7,12,0.5833333333333334,4,8,0.5,3,4,0.75,2,2,1,1,2.25,1.5833333333333333,1,2,3,6,1,0,0,2,19,0.8395503679149542,28,1.0384294809313497,30,0.9941534077519162,337,0.8381944435571136,11,1.1419224610035708,11,1.115708129421239,202,Quinn Cook,G
4,20141121,Temple,W,1,34,6,12,0.5,3,4,0.75,3,8,0.375,2,2,1,1.5,1.125,1.4166666666666667,0,5,5,1,2,0,2,2,17,0.745834194405135,34,0.8918740155523119,34,0.9484118661011154,362,1.0563807983321702,6,0.9769092285571029,19,1.0374806705658595,93,Quinn Cook,G
5,20141122,Stanford,W,1,39,5,12,0.4166666666666667,1,3,0.3333333333333333,4,9,0.4444444444444444,4,4,1,0.6666666666666666,1.3333333333333333,1.5,0,3,3,5,1,0,1,2,18,0.6442338702916396,29,0.8173151308676815,22,0.9469804604939008,385,1.0327605177589267,8,1.0655442698685997,20,1.0462282959568263,225,Quinn Cook,G
6,20141126,Furman,W,1,24,4,10,0.4,1,1,1,3,9,0.3333333333333333,0,0,NaN,2,1,1.1,0,3,3,5,1,0,1,2,11,0.6604338152707813,15,1.0004060440871667,18,0.8073358417968567,184,1.5714732570343541,3,1.1529996887110372,6,0.9225470115315697,103,Quinn Cook,G
7,20141130,Army,W,1,30,5,12,0.4166666666666667,4,7,0.5714285714285714,1,5,0.2,2,2,1,1.1428571428571428,0.6,1.0833333333333333,0,2,2,2,3,0,1,1,13,0.7915649095618466,42,0.8227259229189409,37,0.9338820228825953,248,1.0770340764494661,10,1.1217539458971095,20,1.1069571549595247,109,Quinn Cook,G
9,20141215,Elon,W,1,35,3,9,0.3333333333333333,2,3,0.6666666666666666,1,6,0.16666666666666666,0,0,NaN,1.3333333333333333,0.5,0.7777777777777778,0,2,2,4,1,0,1,1,7,0.9092927271800338,33,0.8949279859244639,35,0.9207422649674178,305,0.9484608663970894,6,1.0889060555234658,14,1.0727716404524315,156,Quinn Cook,G
11,20141229,Toledo,W,1,37,6,12,0.5,4,6,0.6666666666666666,2,6,0.3333333333333333,6,6,1,1.3333333333333333,1,1.6666666666666667,0,1,1,3,0,0,2,4,20,0.9331352510121073,31,0.8894054455704967,57,0.9794215501738271,306,0.9991151492340425,6,0.9202403950985354,22,1.06880607706391,148,Quinn Cook,G
12,20141231,Wofford,W,1,35,5,8,0.625,2,2,1,3,6,0.5,2,2,1,2,1.5,1.875,0,1,1,2,1,0,0,1,15,1.0262077601743465,22,0.9946140222500649,23,0.9593591172941532,430,1.1413018483762538,3,1.0041925600946664,11,0.9774286698398853,95,Quinn Cook,G
13,20150103,Boston College,W,1,34,5,14,0.35714285714285715,2,5,0.4,3,9,0.3333333333333333,2,2,1,0.8,1,1.0714285714285714,1,2,3,2,1,0,3,3,15,0.6566613010986216,19,0.8465321386405487,32,0.9104284153159248,379,0.9286399724783985,4,1.119888772117869,9,0.9578718066519948,148,Quinn Cook,G
