,shooter,game,x,y,value,NN_probability,SVM_probability
256,842297,20150103,29.96886,10.58386,2,0.235507235,0.365282934
257,842297,20150103,3.34363,7.00688,3,0.173178449,0.413951996
258,842297,20150103,27.74954,23.0818,2,0.546437383,0.394632845
259,842297,20150113,42.39429,74.29102,3,0.426511765,0.474875481
260,842297,20150113,20.09008,84.34416,2,0.444066763,0.603687041
261,842297,20150113,19.36104,87.52069,2,0.551239967,0.394364049
262,842297,20150113,11.89732,77.54982,2,0.547918081,0.382659689
263,842297,20150113,28.48275,5.92887,2,0.320452273,0.494232249
264,842297,20150113,28.22826,5.11365,2,0.460206181,0.48429865
265,842297,20150113,17.58277,6.87599,2,0.685173035,0.47778622
266,842297,20150113,23.14338,27.98255,3,0.262691289,0.400225157
267,842297,20150113,5.04881,20.34485,3,0.160965532,0.419653845
268,842297,20150119,45.98288,88.20365,3,0.364639491,0.452487107
269,842297,20150119,28.1575,87.65047,2,0.812433541,0.505854579
270,842297,20150119,4.23676,84.35207,3,0.360253125,0.530779224
271,842297,20150119,46.56773,85.40768,3,0.6844455,0.462886284
272,842297,20150119,3.80868,88.57664,3,0.337827981,0.399910506
273,842297,20150119,20.46969,89.5109,2,0.82496208,0.587110349
274,842297,20150119,30.049,7.23904,2,0.836517215,0.66147585
275,842297,20150119,46.75697,4.44293,3,0.155021563,0.38635193
276,842297,20150119,27.76897,3.36918,2,0.552346647,0.655100477
277,842297,20150119,15.37478,28.90536,3,0.419116676,0.460681635
278,842297,20150119,22.11719,5.64713,2,0.149405882,0.404755626
279,842297,20150204,16.93524,83.61565,2,0.143044546,0.402965661
280,842297,20150204,5.44363,77.75294,3,0.545820355,0.335021687
281,842297,20150204,20.90036,82.16872,2,0.06935484,0.363089886
282,842297,20150204,29.64591,88.92159,2,0.652268171,0.641881175
283,842297,20150204,12.4822,68.0768,3,0.165595919,0.383543971
284,842297,20150204,38.83794,72.88581,3,0.385609448,0.375971458
285,842297,20150204,8.06883,18.64478,3,0.380378008,0.437883794
286,842297,20150204,19.27123,12.2942,2,0.553147078,0.521722993
287,842297,20150204,22.44534,5.65461,2,0.531630576,0.490625443
288,842297,20150204,17.8931,8.00433,2,0.086894624,0.411861553
289,842297,20150207,47.12074,86.52596,3,0.279691458,0.416179733
290,842297,20150207,22.87152,87.18264,2,0.80171895,0.67909822
291,842297,20150207,22.21871,27.71928,3,0.321734637,0.38534223
292,842297,20150207,3.57189,3.89781,3,0.510578215,0.456649053
293,842297,20150218,21.33405,86.38684,2,0.718404949,0.585981813
294,842297,20150218,24.06033,64.90885,3,0.470750719,0.568258528
295,842297,20150218,19.78614,82.97976,2,0.548830032,0.444842628
296,842297,20150218,19.68364,89.12442,2,0.436564803,0.482231905
297,842297,20150218,34.41568,26.3897,3,0.384770989,0.3868115
298,842297,20150218,31.60257,5.58289,2,0.413588047,0.399968443
299,842297,20150218,27.02037,6.24163,2,0.496611387,0.538729103
300,842297,20150218,18.2611,7.70203,2,0.200335771,0.409233171
301,842297,20150218,5.77447,4.69018,2,0.389253289,0.527904045
302,842297,20150218,18.85513,27.02891,3,0.128421396,0.427044635
303,842297,20150218,35.45221,25.74372,3,0.175450966,0.423798899
304,842297,20150218,26.94718,3.77128,2,0.798644722,0.596166552
305,842297,20150218,25.59497,10.10351,2,0.43270281,0.641722318
306,842297,20150218,29.86691,6.86655,2,0.19727765,0.55176149
307,842297,20150218,21.18248,6.40563,2,0.479476511,0.577890105
308,842297,20150218,35.32703,7.36074,2,0.168748334,0.441913061
309,842297,20150221,26.8606,86.38529,2,0.682851374,0.472394502
310,842297,20150221,46.32071,89.37095,3,0.304746509,0.489841449
311,842297,20150221,30.60788,88.27409,2,0.553236961,0.549204809
312,842297,20150221,21.34084,87.51369,2,0.553992152,0.399607074
313,842297,20150221,25.43581,83.78907,2,0.840788841,0.646343409
314,842297,20150221,30.11569,5.44905,2,0.418209314,0.451660873
315,842297,20150221,31.66864,7.48702,2,0.788554549,0.58863606
316,842297,20150221,21.72013,12.67484,2,0.556620836,0.563241329
317,842297,20150221,4.54034,5.92023,2,0.395511538,0.57077043
318,842297,20150221,19.66558,6.32417,2,0.930165589,0.667307347
319,842297,20150221,32.27279,25.08657,3,0.315355003,0.449822153
320,842297,20150228,36.37032,89.84969,2,0.655941606,0.555805995
321,842297,20150228,8.79832,71.75091,3,0.262820512,0.372577096
322,842297,20150228,15.57495,83.88331,2,0.558019161,0.658930008
323,842297,20150228,44.37573,80.17397,3,0.594966471,0.387124778
324,842297,20150228,5.0012,19.85047,3,0.229730844,0.36513237
325,842297,20150228,10.54239,22.91801,3,0.415273696,0.34972407
326,842297,20150228,29.07548,13.37844,2,0.563849151,0.580102092
327,842297,20150304,10.09814,71.41537,3,0.508064568,0.467532307
328,842297,20150304,31.12675,86.1672,2,0.466669381,0.487836911
329,842297,20150304,45.16261,82.81566,3,0.179246798,0.509255711
330,842297,20150304,28.52313,88.95383,2,0.384069949,0.412726247
331,842297,20150304,25.98676,91.04211,2,0.194045752,0.493832196
332,842297,20150304,31.90352,64.39254,3,0.18730855,0.587893831
333,842297,20150304,9.71561,14.47914,2,0.106452279,0.454432293
334,842297,20150304,21.02834,6.37548,2,0.857251346,0.655799744
335,842297,20150312,12.558,24.92015,3,0.101753324,0.423467989
336,842297,20150312,27.05681,8.62632,2,0.797251463,0.577634438
337,842297,20150312,32.18036,6.33556,2,0.502300501,0.486363267
338,842297,20150312,27.34232,26.39233,3,0.071716145,0.415892121
339,842297,20150312,31.41863,7.49892,2,0.358072847,0.459277144
340,842297,20150312,20.23727,86.98423,2,0.937074244,0.663128651
341,842297,20150312,35.16695,86.27243,2,0.106976546,0.381722741
342,842297,20150312,24.85964,89.81767,2,0.740755558,0.661850213
343,842297,20150312,28.45383,84.76231,2,0.822556734,0.64693512
344,842297,20150313,28.35442,5.7472,2,0.926602125,0.713848745
345,842297,20150313,3.73843,3.74313,3,0.116721436,0.431345846
346,842297,20150313,22.11426,3.06676,2,0.111350626,0.476550784
347,842297,20150313,21.92524,5.76954,2,0.999777734,0.660756283
348,842297,20150313,27.56358,6.92283,2,0.177409127,0.38091065
349,842297,20150313,25.69484,10.65981,2,0.05121585,0.387670992
350,842297,20150313,24.03027,81.40653,2,0.453717291,0.469170113
351,842297,20150313,29.45114,84.96928,2,0.800814509,0.637164434
352,842297,20150313,29.63351,68.45248,3,0.476084471,0.381009069
353,842297,20150313,31.27724,88.13474,2,0.066064559,0.371835244
354,842297,20150313,36.35254,67.62673,3,0.409728706,0.516335142
355,842297,20150313,16.25789,67.61366,3,0.290178567,0.494277642
356,842297,20150313,35.06232,66.27516,3,0.776826978,0.382091992
357,842297,20150320,3.69377,87.71155,3,0.625801563,0.477187
358,842297,20150320,33.19343,82.84694,2,0.554578662,0.481941918
359,842297,20150320,5.48288,80.28497,3,0.678285837,0.516843275
360,842297,20150320,26.42677,88.89948,2,0.950414658,0.658088312
361,842297,20150320,36.68938,62.87664,3,0.099849209,0.402237922
362,842297,20150320,21.14708,27.53014,3,0.423661232,0.386486795
363,842297,20150320,3.69197,5.28561,3,0.595563293,0.491199669
364,842297,20150322,21.25781,84.35615,2,0.33857137,0.392941179
365,842297,20150322,28.73095,87.92266,2,0.551426411,0.348837293
366,842297,20150322,34.42256,82.28614,2,0.55844909,0.487077721
367,842297,20150322,9.58182,78.71547,2,0.185088739,0.420020408
368,842297,20150322,46.10955,16.7249,3,0.655504107,0.426460836
369,842297,20150322,32.80351,8.84284,2,0.547997713,0.363847142
370,842297,20150322,27.38884,7.00174,2,0.909367502,0.651746274
371,842297,20150322,21.48198,7.59351,2,0.97364229,0.737884676
372,842297,20150322,21.30672,7.56172,2,0.338295251,0.491697533
373,842301,20141114,27.39521,88.89332,2,0.549765825,0.5
374,842301,20141114,32.91662,85.95409,2,0.727890313,0.513683307
375,842301,20141114,31.53979,86.79873,2,0.663848639,0.615965889
376,842301,20141114,27.91708,89.26909,2,0.544422686,0.545953543
377,842301,20141114,23.09169,86.52804,2,0.555850983,0.634766921
378,842301,20141114,35.87512,88.05648,2,0.531139374,0.590849077
379,842301,20141114,25.63158,85.81388,2,0.554994345,0.72367817
380,842301,20141114,23.70808,7.75786,2,0.557533324,0.646596817
381,842301,20141114,20.84634,7.8599,2,0.551993549,0.511081498
382,842301,20141114,21.95433,8.54939,2,0.603935242,0.602333167
383,842301,20141115,25.50468,86.17122,2,0.625145733,0.618564656
384,842301,20141115,34.79983,86.92802,2,0.854129851,0.625456221
385,842301,20141115,27.77462,88.25841,2,0.625842512,0.742693214
386,842301,20141115,20.35097,85.46727,2,0.518972874,0.483524468
387,842301,20141115,27.78166,86.81205,2,0.548243403,0.544921266
388,842301,20141115,27.26641,84.87324,2,0.165182933,0.568920006
389,842301,20141115,27.5309,85.93955,2,0.653447926,0.664966151
390,842301,20141115,30.69007,8.29684,2,0.547121167,0.477640974
391,842301,20141115,24.73751,6.40018,2,0.554119706,0.692781607
392,842301,20141115,23.82874,8.45682,2,0.532057106,0.662416412
393,842301,20141118,29.94256,87.78704,2,0.5542714,0.613403931
394,842301,20141118,27.39785,86.74703,2,0.539865196,0.661189529
395,842301,20141118,35.44733,85.66644,2,0.554861426,0.56811651
396,842301,20141118,22.54668,88.71238,2,0.928567588,0.660707949
397,842301,20141118,33.4765,88.89976,2,0.23516874,0.439672131
398,842301,20141118,25.6341,90.22526,2,0.373788059,0.642093927
399,842301,20141118,27.58085,6.4731,2,0.631164789,0.687465341
400,842301,20141118,20.36875,7.02192,2,0.546866953,0.535871337
401,842301,20141118,28.3414,9.45824,2,0.555401325,0.644842082
402,842301,20141118,21.18086,4.72484,2,0.386447519,0.568229227
403,842301,20141121,19.87618,11.12958,2,0.553173065,0.565228603
404,842301,20141121,16.68094,7.27004,2,0.547744989,0.385419243
405,842301,20141121,26.92998,4.97179,2,0.646362305,0.587678123
406,842301,20141121,26.9249,4.91463,2,0.435183644,0.620087984
407,842301,20141121,14.4738,7.91856,2,0.552141964,0.544674704
408,842301,20141121,23.00552,8.97357,2,0.553886294,0.508430325
409,842301,20141121,26.96666,5.7315,2,0.54019618,0.629411235
410,842301,20141121,18.12365,7.90503,2,0.54836154,0.510650982
411,842301,20141121,23.32517,5.75658,2,0.700399041,0.642911055
412,842301,20141121,24.75357,5.7506,2,0.552613497,0.530084996
413,842301,20141121,23.43645,11.25655,2,0.556732535,0.583853667
414,842301,20141121,22.13093,8.60702,2,0.552034914,0.521563508
415,842301,20141121,24.07919,7.74134,2,0.381384373,0.44462297
416,842301,20141121,27.75841,88.6154,2,0.548141658,0.454872804
417,842301,20141121,35.24112,86.98372,2,0.436877489,0.484553172
418,842301,20141121,25.40912,88.48963,2,0.900179803,0.656254182
419,842301,20141121,29.57095,88.16841,2,0.689336717,0.583332355
420,842301,20141121,27.07202,84.25814,2,0.522764981,0.700325742
421,842301,20141121,34.40671,86.55821,2,0.503942549,0.455935486
