game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five,name,position
5,20141122,Stanford,W,0,5,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,1,0,1,0,0,0,0,1,0,0.53336392,0.657327366,0.726565486,0.754381896,0.37604313,NaN,NaN,NaN,0.731938717,0.395267157,Marshall Plumlee,C
6,20141126,Furman,W,0,12,0,0,NaN,0,0,NaN,0,0,NaN,2,2,1,NaN,NaN,Inf,1,1,2,0,0,0,0,1,2,0.860411951,0.738173884,0.782267939,0.92603196,0.992447103,NaN,0.807863943,0.757096448,0.906238041,0.719871122,Marshall Plumlee,C
7,20141130,Army,W,0,13,2,2,1,2,2,1,0,0,NaN,4,4,1,2,NaN,4,3,2,5,0,0,2,1,3,8,0.648762303,0.762916336,0.696744523,0.728745753,0.883206888,0.538596422,0.50468594,0.772007101,0.670156433,1.276007658,Marshall Plumlee,C
9,20141215,Elon,W,0,10,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,2,2,0,0,2,0,2,0,0.579107878,0.673674433,0.605254465,0.571082272,0.648905751,NaN,NaN,0.784647393,0.965392946,NaN,Marshall Plumlee,C
11,20141229,Toledo,W,0,6,1,1,1,1,1,1,0,0,NaN,2,4,0.5,2,NaN,4,1,1,2,0,0,0,0,0,4,NaN,0.760490433,0.695372201,0.815190349,0.874553885,2.210146642,0.835542036,0.838934199,1.045728266,NaN,Marshall Plumlee,C
12,20141231,Wofford,W,0,11,0,1,0,0,1,0,0,0,NaN,3,4,0.75,0,NaN,3,1,2,3,0,0,0,0,0,3,0.791994105,0.726328753,0.729098225,0.839738348,0.744078376,1.110331832,NaN,NaN,0.573991385,0.479042221,Marshall Plumlee,C
13,20150103,Boston College,W,0,11,1,1,1,1,1,1,0,0,NaN,1,2,0.5,2,NaN,3,4,2,6,1,1,4,1,0,3,1,0.658758133,0.795603532,0.994757774,1.106709257,NaN,0.906504957,0.532078999,NaN,NaN,Marshall Plumlee,C
16,20150113,Miami (FL),L,0,6,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,0,1,0,0,2,0,0.535455353,0.836829768,0.823410061,0.898056585,1.038498031,NaN,NaN,NaN,0.761171681,NaN,Marshall Plumlee,C
18,20150119,Pitt,W,0,7,1,1,1,1,1,1,0,0,NaN,2,2,1,2,NaN,4,1,0,1,0,0,1,0,4,4,0.794339873,0.772462916,0.755198039,0.968321385,0.862096354,NaN,0.750370957,0.886327277,NaN,NaN,Marshall Plumlee,C
22,20150204,Georgia Tech,W,0,8,0,1,0,0,1,0,0,0,NaN,0,0,NaN,0,NaN,0,1,1,2,0,0,0,0,3,0,NaN,0.78092032199999994,0.751706063,0.860401523,0.990016731,1.01447181,1.238662785,NaN,NaN,NaN,Marshall Plumlee,C
23,20150207,Notre Dame,W,0,11,1,2,0.5,1,2,0.5,0,0,NaN,0,0,NaN,1,NaN,1,1,2,3,0,0,1,1,4,2,1,0.713425983,0.753103471,0.81398365,0.734137716,2.483981271,0.122731614,NaN,NaN,1.316107581,Marshall Plumlee,C
26,20150218,UNC,W,0,7,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,1,1,2,0,0,0,0,0,0,0.761408186,0.867169806,0.673734269,0.793356277,0.940722936,NaN,NaN,NaN,NaN,1.072475027,Marshall Plumlee,C
27,20150221,Clemson,W,0,24,1,1,1,1,1,1,0,0,NaN,1,2,0.5,2,NaN,3,0,3,3,0,0,0,0,3,3,0.642198593,0.75455568,0.739296698,0.803939725,0.692650633,2.231043087,NaN,0.716604141,0.767411729,0.968578355,Marshall Plumlee,C
30,20150304,Wake Forest,W,0,18,1,1,1,1,1,1,0,0,NaN,2,2,1,2,NaN,4,1,3,4,1,1,0,1,2,4,0.760489787,0.775918415,0.743160918,0.754205351,0.9197546,0.685937809,0.812907262,NaN,0.916758698,NaN,Marshall Plumlee,C
32,20150312,NC State,W,0,21,6,6,1,6,6,1,0,0,NaN,0,0,NaN,2,NaN,2,1,1,2,1,1,3,0,3,12,0.793070135,0.495334152,0.565987468,0.860980551,0.924411589,-0.207731577,0.644245601,0.631285348,0.761817725,1.050522988,Marshall Plumlee,C
33,20150313,Notre Dame,L,0,5,1,1,1,1,1,1,0,0,NaN,0,0,NaN,2,NaN,2,1,0,1,0,0,0,0,1,2,0.922765447,0.639944593,0.512645451,0.862291696,0.757236783,NaN,0.760433892,0.753949224,NaN,NaN,Marshall Plumlee,C
34,20150320,Robert Morris,W,0,19,5,6,0.8333333333333334,5,6,0.8333333333333334,0,0,NaN,0,1,0,1.6666666666666667,NaN,1.6666666666666667,5,5,10,1,0,0,1,0,10,0.633602795,0.608098832,0.610288011,0.67670984,0.920475226,0.913260523,-0.302239626,0.833752042,NaN,1.248902678,Marshall Plumlee,C
35,20150322,San Diego State,W,0,7,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0.654729746,0.866162101,0.714169638,0.769741206,0.726886181,NaN,NaN,NaN,0.686997796,0.611789661,Marshall Plumlee,C
1,20141114,Presbyterian,W,0,19,1,6,0.16666666666666666,0,0,NaN,1,6,0.16666666666666666,0,0,NaN,NaN,0.5,0.5,1,4,5,0,2,0,0,4,3,NaN,0.98531662,0.893188916,1.004657533,0.847753763,NaN,NaN,NaN,NaN,0.658708577,Semi Ojeleye,F
2,20141115,Fairfield,W,0,11,2,5,0.4,0,0,NaN,2,5,0.4,1,2,0.5,NaN,1.2,1.4,0,1,1,0,1,0,0,2,7,1,0.60682809,0.729996599,0.810823037,0.754225069,NaN,NaN,NaN,1.066521795,0.720455798,Semi Ojeleye,F
3,20141118,Michigan State,W,0,2,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,0,NaN,NaN,NaN,1.217841539,0.808053925,NaN,NaN,NaN,NaN,NaN,Semi Ojeleye,F
4,20141121,Temple,W,0,4,0,2,0,0,0,NaN,0,2,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,2,0,NaN,NaN,0.749667328,0.65615002,0.771667525,NaN,NaN,NaN,NaN,0.794465852,Semi Ojeleye,F
5,20141126,Furman,W,0,15,2,3,0.6666666666666666,1,1,1,1,2,0.5,1,1,1,2,1.5,2,1,2,3,0,0,0,0,2,6,0.570203151,0.703792762,0.892180418,0.78542474,0.758671159,NaN,0.859954442,1.264208607,1.055496767,0.714574564,Semi Ojeleye,F
6,20141130,Army,W,0,12,0,2,0,0,1,0,0,1,0,2,4,0.5,0,0,1,1,3,4,1,0,0,0,1,2,1,0.801607872,1.04039056,0.820313651,0.806542784,NaN,0.786998683,NaN,0.782788216,0.904077796,Semi Ojeleye,F
1,20141114,Presbyterian,W,0,5,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,1,1,2,1,0,0,0,1,0,0.851898641,0.729829393,1.148492139,0.907588821,0.74285216,NaN,NaN,NaN,NaN,0.769124239,Nick Pagliuca,G
2,20141115,Fairfield,W,0,3,1,3,0.3333333333333333,0,0,NaN,1,3,0.3333333333333333,0,0,NaN,NaN,1,1,0,1,1,0,0,0,0,0,3,0.604794461,0.745366023,1.092275459,0.867567192,0.837360358,NaN,NaN,NaN,0.990272744,0.817379085,Nick Pagliuca,G
3,20141126,Furman,W,0,2,0,1,0,0,1,0,0,0,NaN,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,1,0,NaN,NaN,1.128675313,0.829124704,0.729220348,NaN,NaN,NaN,1.054848483,0.970946395,Nick Pagliuca,G
7,20150312,NC State,W,0,2,0,1,0,0,0,NaN,0,1,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,1.011201192,1.07145944,NaN,NaN,NaN,NaN,0.866120883,Nick Pagliuca,G
8,20150320,Robert Morris,W,0,2,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,1,0,1,0,0,0,0,0,0,NaN,0.756238487,0.955418507,0.965659533,0.881772324,NaN,NaN,NaN,NaN,NaN,Nick Pagliuca,G
1,20141114,Presbyterian,W,0,3,0,1,0,0,0,NaN,0,1,0,0,0,NaN,NaN,0,0,0,0,0,1,0,0,0,0,0,NaN,NaN,0.84579842,0.767482179,0.718635623,NaN,NaN,NaN,NaN,0.832917678,Sean Kelly,G
6,20150304,Wake Forest,W,0,2,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,NaN,1.734132009,1.128601595,1.119976971,NaN,NaN,NaN,NaN,NaN,Sean Kelly,G
