game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five,name,position
23,20150207,Notre Dame,W,1,36,3,8,0.375,1,5,0.2,2,3,0.6666666666666666,0,0,NaN,0.4,2,1,0,1,1,5,1,0,0,3,8,0.851704896,0.816179091,0.712071852,0.955480075,0.970472676,0.80172467,0.758052414,0.966688638,0.996018361,1.085653663,Quinn Cook,G
26,20150218,UNC,W,1,45,7,15,0.4666666666666667,1,6,0.16666666666666666,6,9,0.6666666666666666,2,4,0.5,0.3333333333333333,2,1.4666666666666666,1,3,4,3,0,0,3,3,22,0.544066683,0.802004255,0.820658226,1.090131124,1.106866401,0.837146302,0.690648064,0.887063918,1.03302763,1.070889684,Quinn Cook,G
27,20150221,Clemson,W,1,39,11,18,0.6111111111111112,8,11,0.7272727272727273,3,7,0.42857142857142855,2,2,1,1.4545454545454546,1.2857142857142858,1.5,1,3,4,4,1,0,2,0,27,0.657421499,0.868852243,0.882206243,1.040336605,0.940322844,1.927048385,1.263801989,0.839197599,0.925198875,1.062412245,Quinn Cook,G
30,20150304,Wake Forest,W,1,32,4,12,0.3333333333333333,1,5,0.2,3,7,0.42857142857142855,2,2,1,0.4,1.2857142857142858,1.0833333333333333,0,5,5,2,0,0,2,2,13,0.610309067,0.795710258,0.848208091,1.017507677,0.916411261,0.660849898,0.613566714,0.959213073,0.855682769,1.094520057,Quinn Cook,G
32,20150312,NC State,W,1,26,5,7,0.7142857142857143,3,5,0.6,2,2,1,3,3,1,1.2,3,2.142857142857143,0,2,2,0,1,0,0,1,15,0.853260412,0.836671748,0.89799317,1.038104985,1.007163457,1.512915519,0.673642808,0.920298224,1.020172702,1.094468327,Quinn Cook,G
33,20150313,Notre Dame,L,1,39,2,12,0.16666666666666666,1,4,0.25,1,8,0.125,2,2,1,0.5,0.375,0.5833333333333334,0,2,2,2,1,0,2,4,7,0.894557656,0.775671265,0.891351234,0.964130744,0.861055545,NaN,0.862432113,1.133775798,1.079273917,0.972042008,Quinn Cook,G
34,20150320,Robert Morris,W,1,32,8,12,0.6666666666666666,2,2,1,6,10,0.6,0,0,NaN,2,1.8,1.8333333333333333,1,3,4,5,3,0,1,3,22,1,0.714189799,1.069618809,0.765419026,0.829456316,NaN,2.092901674,1.085622203,0.970848883,0.927110104,Quinn Cook,G
35,20150322,San Diego State,W,1,38,6,13,0.46153846153846156,3,5,0.6,3,8,0.375,0,0,NaN,1.2,1.125,1.1538461538461537,1,4,5,2,0,0,1,0,15,1,0.85105245,0.940044871,0.957203297,0.928031533,0.542594884,0.697542702,0.968608386,0.867472924,1.011293082,Quinn Cook,G
1,20141114,Presbyterian,W,1,20,6,12,0.5,4,9,0.4444444444444444,2,3,0.6666666666666666,1,1,1,0.8888888888888888,2,1.25,2,2,4,1,1,1,3,2,15,NaN,0.860782868,1.104071589,0.858189022,0.770126169,1.131205547,0.849584269,0.987816578,0.973398907,0.866791641,Justise Winslow,F
2,20141115,Fairfield,W,1,21,6,10,0.6,5,8,0.625,1,2,0.5,5,7,0.7142857142857143,1.25,1.5,1.8,2,4,6,2,1,1,1,1,18,1,0.659208278,0.646728138,1.003942955,0.912231831,1.605905829,1.311051385,0.869589788,1.030034593,0.953539806,Justise Winslow,F
